Planet,SolarRadiation,AtmosphericComposition,DistanceFromStar,Habitability
Wibble,696.4691856,54.26359258,4.56270599,1
Bloopa,286.139335,6.677444323,2.798020184,0
Wibble,226.8514536,65.33648714,9.328916481,1
Ploink,551.3147691,99.60863274,3.143513536,1
Giggletron,719.4689698,76.93973371,9.09714662,1
Wobbletron,423.1064601,57.37741137,0.43418091,1
Planet Squee,980.7641984,10.26352592,7.071150603,0
Froozle,684.8297386,69.98340748,4.83889039,0
Gigglex,480.9319015,66.11678673,4.442210613,0
Giggletron,392.1175182,4.909713062,0.363233444,0
Whimsyland,343.1780162,79.22993018,0.406831905,0
Chucklestar,729.0497074,51.87165909,3.327536171,1
Noodletopia,438.5722447,42.58676942,9.471195399,0
Noodletopia,59.67789661,78.81871736,6.176599771,1
Guffaw-9,398.0442553,41.15692232,3.688748417,1
Wobbletron,737.9954057,48.10262755,6.119770391,1
Froozle,182.4917305,18.16288427,2.061315363,1
Zanysphere,175.4517561,32.13188995,1.650664428,1
Jestoria,531.5513738,84.55329966,3.618172655,0
Planet McPlanetface,531.8275871,18.69037489,8.633533515,1
Quirkos,634.4009586,41.72910609,5.094017274,0
Planet McPlanetface,849.4317941,98.90345074,2.969015161,0
Whimsyland,724.4553249,23.65998117,9.502516251,1
Giggletron,611.0235107,91.68323329,8.159660897,0
Planet Squee,722.4433826,91.83974678,3.229739428,0
Wibble,322.9589139,9.12963422,9.720982452,1
Wibble,361.7886556,46.36527249,9.873510978,1
Chucklestar,228.2632309,50.22163353,4.086601337,0
Zanysphere,293.7140464,31.36689501,6.559231029,0
Funkytown,630.9761239,4.733953724,4.056531985,0
Funkytown,92.10493995,24.16856372,2.573481057,1
Planet McPlanetface,433.7011727,9.552964156,0.82652676,1
Gigglex,430.8627633,23.82499057,2.636103461,0
Zigzaggle,493.6850977,80.77910863,2.714798535,0
Blorp,425.8302903,89.49782879,3.986390797,1
Snickertopia,312.261223,4.322289208,1.84886031,1
Jestoria,426.351307,30.19468363,9.538184033,1
Blorp,893.3891631,98.05821986,1.028798854,1
Froozle,944.1600182,53.95048226,6.252085331,0
Funkytown,501.8366759,62.63093617,4.41697388,1
Zanysphere,623.9529518,0.554540841,4.23518049,0
Chucklestar,115.6183951,48.49094434,3.719917829,1
